cal_date,454_year,454_qtr,454_month,454_week,cal_year,cal_qtr,cal_month_number,cal_month_name,cal_day_of_month_number,cal_week,cal_day_of_week,cal_day_of_week_number
2014-01-01,2014,1,1,1,2014,Q1,1,JAN,1,1,WEDNESDAY,4
2014-01-02,2014,1,1,1,2014,Q1,1,JAN,2,1,THURSDAY,5
2014-01-03,2014,1,1,1,2014,Q1,1,JAN,3,1,FRIDAY,6
2014-01-04,2014,1,1,1,2014,Q1,1,JAN,4,1,SATURDAY,7
2014-01-05,2014,1,1,2,2014,Q1,1,JAN,5,1,SUNDAY,1
2014-01-06,2014,1,1,2,2014,Q1,1,JAN,6,1,MONDAY,2
2014-01-07,2014,1,1,2,2014,Q1,1,JAN,7,1,TUESDAY,3
2014-01-08,2014,1,1,2,2014,Q1,1,JAN,8,2,WEDNESDAY,4
2014-01-09,2014,1,1,2,2014,Q1,1,JAN,9,2,THURSDAY,5
2014-01-10,2014,1,1,2,2014,Q1,1,JAN,10,2,FRIDAY,6
2014-01-11,2014,1,1,2,2014,Q1,1,JAN,11,2,SATURDAY,7
2014-01-12,2014,1,1,3,2014,Q1,1,JAN,12,2,SUNDAY,1
2014-01-13,2014,1,1,3,2014,Q1,1,JAN,13,2,MONDAY,2
2014-01-14,2014,1,1,3,2014,Q1,1,JAN,14,2,TUESDAY,3
2014-01-15,2014,1,1,3,2014,Q1,1,JAN,15,3,WEDNESDAY,4
2014-01-16,2014,1,1,3,2014,Q1,1,JAN,16,3,THURSDAY,5
2014-01-17,2014,1,1,3,2014,Q1,1,JAN,17,3,FRIDAY,6
2014-01-18,2014,1,1,3,2014,Q1,1,JAN,18,3,SATURDAY,7
2014-01-19,2014,1,1,4,2014,Q1,1,JAN,19,3,SUNDAY,1
2014-01-20,2014,1,1,4,2014,Q1,1,JAN,20,3,MONDAY,2
2014-01-21,2014,1,1,4,2014,Q1,1,JAN,21,3,TUESDAY,3
2014-01-22,2014,1,1,4,2014,Q1,1,JAN,22,4,WEDNESDAY,4
2014-01-23,2014,1,1,4,2014,Q1,1,JAN,23,4,THURSDAY,5
2014-01-24,2014,1,1,4,2014,Q1,1,JAN,24,4,FRIDAY,6
2014-01-25,2014,1,1,4,2014,Q1,1,JAN,25,4,SATURDAY,7
2014-01-26,2014,1,2,5,2014,Q1,1,JAN,26,4,SUNDAY,1
2014-01-27,2014,1,2,5,2014,Q1,1,JAN,27,4,MONDAY,2
2014-01-28,2014,1,2,5,2014,Q1,1,JAN,28,4,TUESDAY,3
2014-01-29,2014,1,2,5,2014,Q1,1,JAN,29,5,WEDNESDAY,4
2014-01-30,2014,1,2,5,2014,Q1,1,JAN,30,5,THURSDAY,5
2014-01-31,2014,1,2,5,2014,Q1,1,JAN,31,5,FRIDAY,6
2014-02-01,2014,1,2,5,2014,Q1,2,FEB,1,5,SATURDAY,7
2014-02-02,2014,1,2,6,2014,Q1,2,FEB,2,5,SUNDAY,1
2014-02-03,2014,1,2,6,2014,Q1,2,FEB,3,5,MONDAY,2
2014-02-04,2014,1,2,6,2014,Q1,2,FEB,4,5,TUESDAY,3
2014-02-05,2014,1,2,6,2014,Q1,2,FEB,5,6,WEDNESDAY,4
2014-02-06,2014,1,2,6,2014,Q1,2,FEB,6,6,THURSDAY,5
2014-02-07,2014,1,2,6,2014,Q1,2,FEB,7,6,FRIDAY,6
2014-02-08,2014,1,2,6,2014,Q1,2,FEB,8,6,SATURDAY,7
2014-02-09,2014,1,2,7,2014,Q1,2,FEB,9,6,SUNDAY,1
2014-02-10,2014,1,2,7,2014,Q1,2,FEB,10,6,MONDAY,2
2014-02-11,2014,1,2,7,2014,Q1,2,FEB,11,6,TUESDAY,3
